komentar,sentimen,emosi
"Mbak Yenny lapor ; saya asli JaTim, dulu org tua saya tidak sanggup menyekolahkan saya. alhasil saya tidak ada kerja, terhalang ijasah . dan sekarang saya jadi TKI di luar negri (hkg) Alhamdulillah semua kebutuhan dan keinginan tercukupi hasilnya 2 rmh, 3kndraan, 1 tnh pkrngan",Positif,Lainnya
"Mungkin mbk Yenny nanti bisa membantu anak2 muda yg baru lulus2 kuliah bisa bekerja di LN , membantu edukasi dan pemberangkatannya bagaimana,....😍",Sedih,Sedih
Saya lulus SD dulu.. usia 20 tahun saya merantau ke Malaysia.. alhamdulillah.aku kerja tanpa di minta ijazah S1 atau apalah.. alhamdulillah saye berkahwin dgn rakyat Malaysia..dan saya bawa semua keluarga saye dari Indonesia ke Malaysia..dan akhirnya saya sudah sah menjadi rakyat Malaysia.. yg perlu saya garis bawahi...dari sejak pertama memijak kaki ke Malaysia sampai sekarang...saya di manusia oleh pemimpin Malaysia..bukan seperti Indonesia..yg membinatang rakyat nya,Positif,Lainnya
"Wah menarik banget ,",Positif,Lainnya
Keren mbak Yenny... buka jasa konsul juga mgkn mbak gmn caranya. Terutama anak2 muda. Supaya ndak malah luntang lantung di negeri orang. Tapi salut deh sama anak2 Gus Dur. Njenengan semua pancen oye!!! Respek 👏,Positif,Lainnya
"Nahh... ini keren. Mbak Yenny kasi solusi, bukan malah memaki seperti pejabat2 lain, gak nasionalis lah, jd warga 2nd class lah... 👏😍",Positif,Lainnya
Mbak Yenny keren dia..tindakannya sangat mendukung anak anak muda ..top dah👍❤️,Positif,Lainnya
"Enak hidup di shanghai mbak yeni 😍😍😍❤️❤️kita skt pun ada asuransi dan kita gaji gede walau tki 😍😍sya agak heran sm presiden indonesia yg menerapkan makan siang gratis dan itu di ambil dari uang negara,beda klo disini diambil dari pajak para pejabat lo mbak,keren bgt disini itu aman dan nyaman ❤️❤️salam dari cina mbak❤️",Positif,Lainnya
"sayang aku sudah tua, kalau masih muda pasti lebih pilih kabur, tdk sudi rasa nya punya wapres kok kualitas nya hanya begitu malu ngakui nya juga, boleh engga sih jujur di negara ini???",Netral,Lainnya
"😂😂😂 Keren amat sih mbak, support gen Z bgt ini🔥",Positif,Lainnya
Setuju Bunda dan ikhtiar menjadi manusia yg lebih baik dan tetap dalam aqidah Islam. Aamiin,Positif,Lainnya
"Lucu nya, di gembor""in soal Canada yg butuh pekerja, isedangkan saya yg tibggal di canada, lihat dengan mata sendiri, org""pada datang dan setelah cari kerjaan, susah nya mibta ampun, buka 2 lowongan, yg apply ratusan org. Skrg pada mau expired permit dan skrg di suruh pada pulang. Skrg sewa rumah ato apartement mahal nya luar biasa. Gaji bisa""50% lebih cm bayar rent. Untung nya saya sdh 20 th di sini, jd ga begitu kena dampak. Tp pendafang""yg di iming""in kaya gini, kabur aja, nanti br tau betapa susah nya kl sdh kabur. At the end, ga tahan, dan bahkan ga ada uang tabungan krn biaya hidup tinggi sekali, modal abis krn dtg, ga isa dpt kerjaan. Apalg negara e dingin, persayaran utk dtg aja kadang di taruh di kota kecil sekali, yg org""ga mau tinggal. Yah tp kan kabur aja dl kan..",Positif,Lainnya
Alhamdulillah anak kami sudah di Canada mbak. Kuliahnya. .bahkan disana mahasiswa S1 blm selesai kuliah bisa jd asisten dosen. Dgn gaji yg lumayan,Positif,Lainnya
Mba.. kalo ga salah US blm mau terima lagi untuk sementara ini..?,Netral,Lainnya
Aku pilih Spanyol ah.. ga terlalu dingin! 🤩🤩🤩,Netral,Lainnya
"Very Open Minded@ yennywahid👍pengalaman saya hidup dan beasiswa disana memang bisa membiayai hidup krn dikasih uang saku yg sgt cukup dan fasilitas apt disana beasiswanya benar²byg lebih culture shock tinggal diLN Terutama Jepang, padahal bukan muslim namun Ahlak mereka lebih² dr seorang Muslim, disiplin dan Ahlak trrhadap Mahluk Hidup mereka bangun itu 40 th. Jd kita para turis atau pelajar dapat pelajaran baik terutama disiplin sampah dan disiplin antian jd mendidik org tdk korupsi krn by system. Mau org kaya, mau org susah semua rata² maik transpotasi umum semua sama tdk ada perbedaan, apakah bisa Indo spt itu?🔥🙏",Sedih,Lainnya
Ngga nasionalis? Kita INTERNASIONALIS.,Netral,Lainnya
Klo udah umur 52 tahun ke@negara mana ya?,Netral,Lainnya
Kalau buat pangsiunan ada ga mbak? 😂😂,Netral,Lainnya
"Anak ku Juni mau ke Inggris ambil S2 di Manchester, ninggalin tempat kerja multinational rela demi pendidikan yg lbh ok dan pekerjaan yg ok diluar negri , pergilah nak mm ridho, nti stlh Indonesia terang pulang lah dan bangun Indonesia LBH baik tuk generasi berikutnya",Sedih,Lainnya
"keren ya anak anak Gusdur, siapa dulu dong bapak ibu nya👍👍🙏❤️",Positif,Lainnya
"MBA Yenny aku uda kabur ke Usa dan uda kerja di sini , Alhamdulilah anakku juga uda kuliah di Usa dan kerja di sini , Damai tentram , 😂😂😂😂",Positif,Lainnya
"Penginnya gitu, Mbak Yenni, tapi apalah daya takde duit 😂",Netral,Lainnya
"Kami juga sudah hijrah / kabur duluan sejak 2013 mb @yennywahid , Alhamdulillah ke Saudi Arabia, suami diterima bekerja di salah satu perusahaan oil and gas, Alhamdulillah bisa bawa keluarga, dekat Makkah Madinah semoga bisa sampe pensiun disini aja, kabur yang diharapkan ini hehe",Positif,Lainnya
"Untung saja anakku kusuruh kerja di jepang mba yeni,naluri seorang ayah lihat kondisi tanah air yang kacau untuk pencari kerja",Netral,Lainnya
"Salam dari Switzerland Bu,
Main dong kesini….",Netral,Lainnya
"Ibu kita banyak kehilangan pa/pi kita yg berkwalitas.
Ibu memfasilitasi atau ibu ingin hanya mereka mendapatkan fasilitas dan berhasil lalu mereka pa/pi Indonesia wajib balik membangun negara kita.

Kenapa kita gak membangun saja dan memperbaiki atau apa sih sebenarnya kekurangan PT di kita. Kenapa gak kita perbaiki saja...
Yaaa capek sih bu..tapi kan..",Positif,Sedih
"Mau... tapi umur 45-an, bahasa inggris juga ga bagus pakah bisa...? Pasti modah pindah ke luar negwri mahal yaa..?",Positif,Lainnya
Mudahan ada program sponsor visa bagi profesional kerja yang sudah kerja 10 tahun di Indonesia untuk menuju negara yg ingin di tuju.,Netral,Lainnya
BRAVOOOOO Mbak @yennywahid ❤️🤍,Positif,Lainnya
